2019 Salary,Age,Age squared,W-L%,ERA,IP,H9,HR9,BB9,SO9,SP,RP,AL,NL,Left Handed,Right Handed,Ln 2019 Salary
16500000,33,1089,0.25,4.66,119.2,9.4,1.5,3,7.9,1,0,1,0,0,1,16.61887094
31000000,30,900,0.643,2.73,161.1,7.8,0.9,1.6,8.6,1,0,0,1,1,0,17.24949776
5000000,33,1089,0.5,4.6,60.2,9.9,0.7,3.3,6.4,0,1,0,1,0,1,15.42494847
17200000,32,1024,0.741,2.89,215,7.5,1,1.4,9.3,1,0,1,0,0,1,16.66041994
5125000,26,676,0.571,3.58,55.1,6.2,1.1,3.6,14.3,0,1,0,1,0,1,15.44964108
17000000,30,900,0.5,4.36,185.2,10,1.1,1.6,5.8,1,0,1,0,0,1,16.6487239
2750000,33,1089,0.643,3.72,162,8.4,1.3,2.2,7.2,1,0,1,0,1,0,14.82711147
1687500,24,576,0.4,1.56,57.2,3.7,0.2,3.9,13.3,0,1,1,0,0,1,14.3387587
1260000,26,676,0.333,4.5,24,10.1,1.1,3,9.8,0,1,0,1,0,1,14.04662228
27500000,34,1156,0.75,3.32,181.2,8.6,1.2,3.2,7.4,1,0,0,1,1,0,17.12969656
1950000,26,676,0.667,3.11,81,8.7,0.7,3.8,6,0,1,0,1,0,1,14.48333993
1400000,30,900,,4.54,39.2,10.9,0.9,3.2,10,0,1,1,1,1,0,14.15198279
2050000,27,729,0.429,4.11,87.2,8.5,1.2,2.9,8.6,1,0,0,1,0,1,14.53335035
9333333,31,961,0.5,4.77,156.2,9.4,0.8,4.4,9.2,1,0,1,0,0,1,16.04910274
3125000,30,900,0.444,3.81,125.1,8.3,0.9,3.1,11,1,0,0,1,0,1,14.95494484
3150000,26,676,0.571,3.59,160.2,7.9,1.2,1.8,6,1,0,1,0,1,0,14.96291301
2250000,32,1024,0.167,4.54,41.2,9.9,1.1,1.1,8,0,1,1,0,0,1,14.62644077
11800000,26,676,0.571,3.11,118.2,7.6,0.4,4.6,8.9,1,0,0,1,0,1,16.28361009
